id,domain,concept,E_base,J_asym,E_lit,S_sym
1,Relational,Giri (義理),I am attending my co-worker's wedding because I want to support them as a close friend.,同僚の結婚式に出席するのは、今後の良好な関係を保つための社会的な義理を果たすためだ。,Attending a co-worker's wedding is to fulfill a social obligation to maintain good future relationships.,Asisto a la boda de mi compañero de trabajo porque quiero apoyarlo como un amigo cercano.
2,Relational,Ninjo (人情),The manager chose to give the struggling employee another chance because of human empathy.,マネージャーは、人間的な人情から、苦境にある従業員に、もう一度チャンスを与えることにした。,The manager decided to give the struggling employee another chance out of humane empathy.,El gerente decidió darle otra oportunidad al empleado en problemas debido a la empatía humana.
3,Relational,En (縁),"We met unexpectedly in a distant city, and our successful partnership felt like a fortunate coincidence.",私たちは遠く離れた街で偶然出会い、成功したパートナーシップは不思議な縁のように感じられた。,"We met by chance in a distant city, and our successful partnership felt like a mysterious karmic connection.","Nos encontramos inesperadamente en una ciudad lejana, y nuestra exitosa asociación se sintió como una coincidencia afortunada."
4,Relational,Amaeru (甘える),"The young child stayed close to their parents, depending completely on their deep affection and care.",幼い子供は、親の深い愛情と保護に完全に依存し、遠慮なく甘えるような行動をとった。,"The young child depended completely on their parents' deep affection and protection, behaving responsively to presume upon their benevolence.","El niño pequeño permaneció cerca de sus padres, dependiendo completamente de su profundo afecto y cuidado."
5,Relational,Omoiyari (思いやり),"She quietly adjusted the room lighting before her tired roommate woke up, showing genuine kindness.",彼女は疲れた同居人が起きる前に、相手を気遣う思いやりから、静かに部屋の照明を調整した。,"Out of altruistic consideration, she quietly adjusted the room lighting before her tired roommate woke up.","Ella ajustó silenciosamente la iluminación de la habitación antes de que su compañero cansado se despertara, mostrando amabilidad."
6,Relational,On (恩),He felt a lifelong moral commitment to support his old mentor who helped him secure his first job.,彼は、最初の仕事を得るのを助けてくれた古い恩師に対して、生涯にわたる恩を感じていた。,He felt a lifelong structural debt of gratitude toward his old mentor who helped him secure his first job.,Sintió un compromiso moral de por vida para apoyar a su antiguo mentor que lo ayudó a asegurar su primer trabajo.
7,Social Space,Wa (和),The team members chose to agree with the manager's proposal to prevent arguing during the open meeting.,チームのメンバーは、公開ミーティングでの議論を避けるために、マネージャーの提案に同調して和を保つことを選んだ。,The team members chose to conform to the manager's proposal to maintain harmony and avoid argument in the public meeting.,Los miembros del equipo decidieron estar de acuerdo con la propuesta del gerente para evitar discusiones durante la reunión abierta.
8,Social Space,Kuuki wo Yomu (空気を読む),"He remained completely silent during the tense boardroom disagreement, sensing the unspoken mood of the room.",彼は、取締役会の緊張した不一致の最中に、周囲の空気を読んで、完全に沈黙を守ることにした。,"He chose to remain completely silent during the tense boardroom disagreement, carefully reading the unwritten atmospheric social signals.","Permaneció en completo silencio durante la tensa discrepancia en la sala de juntas, sintiendo el estado de ánimo tácito de la sala."
9,Social Space,Uchi-Soto (内-外),The corporate team shared raw financial details internally but kept the information confidential from outside clients.,企業チームは、内の身内には生の財務詳細を共有したが、外のクライアントには情報を秘密に保った。,The corporate team shared raw financial details with the internal group but kept it strictly confidential from the outside domain.,El equipo corporativo compartió detalles financieros crudos internamente pero mantuvo la información confidencial para los clientes externos.
10,Social Space,Honne to Tatemae (本音と建前),"He praised the low-quality design to avoid hurting feelings, hiding his true personal complaints completely.",彼は相手の感情を傷つけるのを避けるために、建前を使って低品質のデザインを褒め、本音を完全に隠した。,He praised the low-quality design using public facade consensus while hiding his true intrinsic opinion completely.,"Elogió el diseño de baja calidad para evitar herir sentimientos, ocultando sus verdaderas quejas personales por completo."
